logz logzerr logvol nlive logl logwt insert_order
-2.302585092230778230e+00 1.532833063973949861e-01 -1.053605156578263091e-01 3.600000000000000000e+02 7.641810819601029939e-10 -5.991464546343800990e+00 nan
-2.277892479640384327e+00 1.462241877540974011e-01 -1.081421586197031243e-01 3.590000000000000000e+02 7.642229964703264398e-10 -5.991464546343758357e+00 nan
-2.253794928061301661e+00 1.494855861423254328e-01 -1.109315607072816900e-01 3.580000000000000000e+02 7.642246571924160838e-10 -5.991464546343757469e+00 nan
-2.230264430651086371e+00 1.491840078171307593e-01 -1.137287653283429179e-01 3.570000000000000000e+02 7.642509854562559372e-10 -5.991464546343730824e+00 nan
-2.207274912426366864e+00 1.444145145228043492e-01 -1.165338162559515361e-01 3.560000000000000000e+02 7.642847062087786147e-10 -5.991464546343697073e+00 nan
-2.184802056574287388e+00 1.365609562989531789e-01 -1.193467576325661916e-01 3.550000000000000000e+02 7.643761848544087314e-10 -5.991464546343606479e+00 nan
-2.162823149855490179e+00 1.280901692720979590e-01 -1.221676339742075318e-01 3.540000000000000000e+02 7.643843703243868682e-10 -5.991464546343597597e+00 nan
-2.141316944634505504e+00 1.277118440697478652e-01 -1.249964901746852125e-01 3.530000000000000000e+02 7.643921301586032599e-10 -5.991464546343589603e+00 nan
-2.120263535436652802e+00 1.212443567850775838e-01 -1.278333715098848855e-01 3.520000000000000000e+02 7.645085608478353908e-10 -5.991464546343473252e+00 nan
-2.099644248233895283e+00 1.189602458285449055e-01 -1.306783236421161787e-01 3.510000000000000000e+02 7.645520239564967017e-10 -5.991464546343429731e+00 nan
-2.079441540916354025e+00 1.243213532613073879e-01 -1.335313926245226268e-01 3.500000000000000000e+02 7.645611641591347324e-10 -5.991464546343420849e+00 nan
-2.059638913620152945e+00 1.170596667397431206e-01 -1.363926249055548157e-01 3.490000000000000000e+02 7.645885160719528122e-10 -5.991464546343393316e+00 nan
-2.040220827763030709e+00 1.205888474940688126e-01 -1.392620673335076553e-01 3.480000000000000000e+02 7.646081219411451672e-10 -5.991464546343374664e+00 nan
-2.021172632792315849e+00 1.172412174776240740e-01 -1.421397671611228097e-01 3.470000000000000000e+02 7.646466107073824599e-10 -5.991464546343334696e+00 nan
-2.002480499780142864e+00 1.252572556767592438e-01 -1.450257720502577397e-01 3.460000000000000000e+02 7.646856150811087620e-10 -5.991464546343297393e+00 nan
-1.984131361111926006e+00 1.319967286008036089e-01 -1.479201300766222471e-01 3.450000000000000000e+02 7.647108598872139692e-10 -5.991464546343271635e+00 nan
-1.966112855609227550e+00 1.291261626019227782e-01 -1.508228897345836594e-01 3.440000000000000000e+02 7.647536203603548924e-10 -5.991464546343228115e+00 nan
-1.948413278509806501e+00 1.237083751684274202e-01 -1.537340999420420962e-01 3.430000000000000000e+02 7.648045361080296517e-10 -5.991464546343177489e+00 nan
-1.931021535797917021e+00 1.186082641378820579e-01 -1.566538100453768456e-01 3.420000000000000000e+02 7.648250665447522182e-10 -5.991464546343157060e+00 nan
-1.913927102438596872e+00 1.213232227548363129e-01 -1.595820698244652114e-01 3.410000000000000000e+02 7.648297849100207492e-10 -5.991464546343152620e+00 nan
-1.897119984122196179e+00 1.145656018817929889e-01 -1.625189294977749388e-01 3.400000000000000000e+02 7.649686779827819467e-10 -5.991464546343014064e+00 nan
-1.880590682170964589e+00 1.188869394909127797e-01 -1.654644397275317480e-01 3.390000000000000000e+02 7.649815721149746225e-10 -5.991464546342999853e+00 nan
-1.864330161299163624e+00 1.238931131655461870e-01 -1.684186516249632226e-01 3.380000000000000000e+02 7.650016343023628912e-10 -5.991464546342980313e+00 nan
-1.848329819952702291e+00 1.224737071281570416e-01 -1.713816167556202752e-01 3.370000000000000000e+02 7.650138250063441726e-10 -5.991464546342967878e+00 nan
-1.832581462984543386e+00 1.210351984633853822e-01 -1.743533871447777717e-01 3.360000000000000000e+02 7.651235753580870485e-10 -5.991464546342857744e+00 nan
-1.817077276448557210e+00 1.217813174445358804e-01 -1.773340152829155636e-01 3.350000000000000000e+02 7.651311398460086813e-10 -5.991464546342850639e+00 nan
-1.801809804317748398e+00 1.117993329898495231e-01 -1.803235541312815937e-01 3.340000000000000000e+02 7.651698818509741349e-10 -5.991464546342812447e+00 nan
-1.786771926953187650e+00 1.160298205328937904e-01 -1.833220571275381849e-01 3.330000000000000000e+02 7.652354750290866081e-10 -5.991464546342745834e+00 nan
-1.771956841168026209e+00 1.186999063177184011e-01 -1.863295781914934834e-01 3.320000000000000000e+02 7.652386911006575788e-10 -5.991464546342743169e+00 nan
-1.757358041746853283e+00 1.141933987223013591e-01 -1.893461717309191383e-01 3.310000000000000000e+02 7.653610042209803881e-10 -5.991464546342620601e+00 nan
-1.742969304294732291e+00 1.170871953908783347e-01 -1.923718926474561330e-01 3.300000000000000000e+02 7.653684162838639125e-10 -5.991464546342613495e+00 nan
-1.728784669302755095e+00 1.195289075682158669e-01 -1.954067963426101562e-01 3.290000000000000000e+02 7.654384065703514426e-10 -5.991464546342543329e+00 nan
-1.714798427327993924e+00 1.155702794446067522e-01 -1.984509387238383160e-01 3.280000000000000000e+02 7.655344762749235746e-10 -5.991464546342448294e+00 nan
-1.701005105195636080e+00 1.126970722110723910e-01 -2.015043762107286696e-01 3.270000000000000000e+02 7.655376644610636710e-10 -5.991464546342443853e+00 nan
-1.687399453139835970e+00 1.105230856719784521e-01 -2.045671657412744260e-01 3.260000000000000000e+02 7.655693326584396721e-10 -5.991464546342413655e+00 nan
-1.673976432807674053e+00 1.108751933180197463e-01 -2.076393647782445728e-01 3.250000000000000000e+02 7.656216995196904564e-10 -5.991464546342360364e+00 nan
-1.660731206057632026e+00 1.073419237571710261e-01 -2.107210313156526738e-01 3.240000000000000000e+02 7.656312623877506202e-10 -5.991464546342350594e+00 nan
-1.647659124490258309e+00 1.113668130982430199e-01 -2.138122238853255308e-01 3.230000000000000000e+02 7.656339817335623408e-10 -5.991464546342347930e+00 nan
-1.634755719654330086e+00 1.121653101720811729e-01 -2.169130015635737652e-01 3.220000000000000000e+02 7.656355906986310123e-10 -5.991464546342347042e+00 nan
-1.622016693876880300e+00 1.088209948497267654e-01 -2.200234239779662038e-01 3.210000000000000000e+02 7.656698146197683439e-10 -5.991464546342311515e+00 nan
-1.609437911670000387e+00 1.056214065243045591e-01 -2.231435513142098481e-01 3.200000000000000000e+02 7.656715492066355459e-10 -5.991464546342309738e+00 nan
-1.597015391671423812e+00 1.099108194214027806e-01 -2.262734443231375070e-01 3.190000000000000000e+02 7.657213072523699404e-10 -5.991464546342260000e+00 nan
-1.584745299079589831e+00 1.147715458393634147e-01 -2.294131643278052302e-01 3.180000000000000000e+02 7.657255369265163284e-10 -5.991464546342257336e+00 nan
-1.572623938547225819e+00 1.112056408955804515e-01 -2.325627732307014583e-01 3.170000000000000000e+02 7.657822264709416816e-10 -5.991464546342199604e+00 nan
-1.560647747500490734e+00 1.079549418658911075e-01 -2.357223335210699711e-01 3.160000000000000000e+02 7.657838425221672215e-10 -5.991464546342198716e+00 nan
-1.548813289853469000e+00 1.066724296994257803e-01 -2.388919082823490192e-01 3.150000000000000000e+02 7.658083942688198503e-10 -5.991464546342172959e+00 nan
-1.537117250090259013e+00 1.011423332271855352e-01 -2.420715611997287242e-01 3.140000000000000000e+02 7.658355644409842148e-10 -5.991464546342146313e+00 nan
-1.525556427689164440e+00 9.541596178108396886e-02 -2.452613565678288809e-01 3.130000000000000000e+02 7.659310005691844987e-10 -5.991464546342050390e+00 nan
-1.514127731865522408e+00 8.975549420684388047e-02 -2.484613592984997454e-01 3.120000000000000000e+02 7.659379717361343339e-10 -5.991464546342045061e+00 nan
