weight logl A B
2.499999999901439569e-03 6.200957274918912224e-14 9.854602840782670237e-01 9.979418647976221468e-01
2.499999999901453013e-03 6.740182039630513556e-14 8.634366797936243731e-01 5.130578751050198782e-01
2.499999999901453013e-03 6.741569399766595346e-14 8.204141761914697240e-01 5.698090675951652528e-01
2.499999999901457350e-03 6.821450009960933199e-14 6.303188082068285070e-01 6.498401638817853376e-01
2.499999999901457350e-03 6.905519606287709084e-14 1.977013285545148324e-02 6.629976536465689296e-01
2.499999999901466024e-03 7.209872607285331692e-14 4.302628858491704955e-01 6.580049234971270256e-01
2.499999999901463855e-03 7.213770870599365939e-14 2.759576199085871373e-01 6.596284407371519887e-01
2.499999999901472963e-03 7.546142053478671580e-14 2.833226131747139664e-01 6.566511849647850285e-01
2.499999999901475131e-03 7.621194125248366250e-14 6.986481150668505391e-01 6.287154171008850767e-01
2.499999999901508525e-03 8.941912599045308415e-14 3.472080607642634709e-01 6.454521445411481873e-01
2.499999999901508525e-03 9.008589008061514050e-14 9.874158200958822462e-01 2.097626711326939786e-01
2.499999999901508525e-03 9.012334278053492927e-14 6.091644181181469220e-01 6.337591746082004152e-01
2.499999999901528474e-03 9.661476722187581144e-14 6.238778171234629077e-01 6.273992440584539310e-01
2.499999999901528474e-03 9.807314543197008443e-14 8.575936958738498150e-01 4.853638883152983086e-01
2.499999999901534979e-03 1.004634860005570231e-13 5.442240068618273696e-01 6.325636122931421745e-01
2.499999999901541484e-03 1.020810316270373897e-13 1.037609612897090194e-01 6.383401721607072643e-01
2.499999999901544086e-03 1.038419304964091354e-13 6.066909439374005286e-01 6.249693898290712424e-01
2.499999999901544086e-03 1.043254687004822091e-13 1.161204028704792002e-01 6.370186830926586330e-01
2.499999999901559265e-03 1.089904785374542420e-13 4.121868936839859776e-01 6.324814142667833927e-01
2.499999999901559265e-03 1.098045694988766469e-13 8.316809351867799904e-01 5.125940411977525368e-01
2.499999999901561867e-03 1.107706686512727187e-13 2.654252327174665416e-01 6.330383789067539624e-01
2.499999999901577046e-03 1.163468207494631934e-13 9.556063876265652457e-01 2.517591384966503254e-01
2.499999999901601766e-03 1.257220122366038310e-13 2.429968671610646114e-01 6.256418341229165181e-01
2.499999999901599598e-03 1.260671024196173209e-13 4.548942043905841448e-01 6.227497846967290362e-01
2.499999999901608271e-03 1.290827587000872064e-13 4.653995484677362349e-01 6.210135602128995513e-01
2.499999999901621715e-03 1.346615566368831802e-13 3.779817882465474899e-01 6.204777000991062996e-01
2.499999999901670288e-03 1.537420200973418249e-13 8.746397508191785519e-01 4.053257603702163925e-01
2.499999999901670288e-03 1.544521821983388789e-13 5.985326313484217176e-01 6.011347038706911228e-01
2.499999999901688068e-03 1.616604074874029468e-13 8.433798990237325599e-01 4.571084922262863559e-01
2.499999999901703681e-03 1.667073840519151709e-13 1.835863610248228417e-01 6.093833369337962047e-01
2.499999999901712788e-03 1.711849696455421114e-13 1.226838942138032129e-01 6.079697857347239331e-01
2.499999999901717125e-03 1.728535541812340094e-13 8.194061792872979755e-01 4.852025557738881556e-01
2.499999999901719294e-03 1.733981053656236302e-13 1.393408085006816455e-01 6.071992792324480970e-01
2.499999999901730569e-03 1.776437272883553989e-13 1.974232413152019472e-01 6.056639764067652809e-01
2.499999999901730569e-03 1.784417835588424023e-13 9.391174411593459226e-01 2.352666448551486988e-01
2.499999999901741411e-03 1.832434940826382151e-13 9.033533772738471246e-01 3.198355606530729478e-01
2.499999999901768299e-03 1.929573610141219047e-13 9.572071080259006992e-01 1.779679100281619242e-01
2.499999999901788249e-03 2.004947810545356868e-13 6.686149386489137481e-02 5.988979671502147051e-01
2.499999999901788249e-03 2.019672413910622386e-13 9.955278864784581350e-01 7.118027783947744602e-02
2.499999999901792586e-03 2.035361135135548318e-13 9.756946079132294836e-01 1.219257289175434966e-01
2.499999999901801259e-03 2.061994280016943186e-13 3.067191914528997199e-01 5.964408976563621012e-01
2.499999999901803861e-03 2.081401937379340839e-13 8.180795548271834194e-01 4.685453687547732615e-01
2.499999999901821642e-03 2.149891062522801638e-13 3.301715729288334789e-02 5.948912626126103831e-01
2.499999999901823811e-03 2.159452520926303702e-13 9.048213118135992605e-01 2.944757827337611822e-01
2.499999999901856770e-03 2.291953383363738155e-13 8.333485837822054432e-01 4.357484866517452593e-01
2.499999999901874551e-03 2.358679666372469978e-13 8.251284065094330877e-01 4.454704976643890646e-01
2.499999999901883659e-03 2.398398769910996614e-13 8.482272259529337610e-01 4.047547652643261884e-01
2.499999999901887995e-03 2.415370179918379204e-13 9.444861107673232503e-01 1.773277278845341032e-01
2.499999999901907945e-03 2.492709480230527755e-13 9.200841764186941107e-01 2.360727653824568062e-01
2.499999999901994681e-03 2.840552984841525174e-13 8.197001261417495854e-01 4.335455440360300727e-01
2.499999999902010293e-03 2.903986516845659723e-13 5.572644905859199804e-01 5.667650260072581991e-01
2.499999999902036748e-03 2.999295060239879257e-13 7.881103868663552614e-02 5.755343659663340050e-01
2.499999999902034580e-03 3.003855520354397602e-13 1.464627743811606209e-01 5.753333266807890700e-01
2.499999999902067973e-03 3.131459135381728053e-13 8.339003328406979776e-03 5.730816912834315602e-01
2.499999999902092259e-03 3.228326736012006054e-13 4.784750351669244672e-01 5.660247834930947075e-01
2.499999999902107872e-03 3.298568562528753137e-13 8.079336947370538979e-01 4.344993451808181195e-01
2.499999999902176827e-03 3.566154230326794871e-13 4.375591699633731846e-01 5.617627597948724461e-01
2.499999999902205450e-03 3.689755600426892653e-13 4.143657465813948004e-01 5.604586926434613758e-01
2.499999999902267900e-03 3.931177901888753147e-13 4.340990560940093390e-01 5.560256193499497623e-01
2.499999999902314304e-03 4.111718575012820450e-13 4.014975500056872093e-02 5.570696324902461027e-01
