A B
2.298186643822706770e+06 3.069681655056215823e+07
4.516235624649848789e+07 5.611744692235337198e+07
2.659880404412379488e+06 1.543115156452063238e+06
3.198126007507163286e+07 1.486848897780809365e+07
8.528740723050590605e+06 9.400014260527249426e+06
1.277181460808846634e+06 1.361809586172495596e+07
2.891731296581461281e+07 6.243678570204503834e+07
2.199006236382320989e+06 5.596579623564142734e+06
4.347933666244128346e+07 7.601435740524537861e+07
6.127167226365562528e+07 2.107440715076403227e+06
4.329867186996694654e+06 3.188055288321306463e+06
3.094309267529825214e+06 6.801734522158552706e+07
3.800507502222914249e+06 8.446156673509091139e+06
1.468270836208547279e+07 1.011732516609436460e+07
1.945897633667312935e+07 1.382821913484480930e+06
7.050524460533800721e+07 3.013947681942451000e+07
4.147333210002143681e+07 5.702928275848643854e+06
7.345358895912905037e+07 2.591043207870955393e+07
4.390147370119044185e+07 9.472696357043342665e+06
4.153349616428961977e+06 7.291141709673194215e+06
2.106634099727970362e+07 1.963876644505992904e+07
5.213694813959929161e+06 2.102771823517547920e+07
3.179807125014181808e+07 5.164882098923284560e+06
8.331830144569803961e+06 1.245370957342232810e+06
1.684252825012759492e+07 1.382718949740472483e+06
4.828907510852912068e+07 4.559997684725332074e+06
1.590634058606089093e+07 4.350474583779415116e+06
1.210774180485191196e+07 4.732525355947501957e+06
2.529263653928011656e+06 6.796392381490767002e+07
1.006537290012530982e+07 9.567585607466590405e+07
5.754269931853637844e+07 9.705909099066233262e+06
1.077046685341736767e+06 5.517659484257747978e+07
2.155832314988689870e+07 4.331669400800027698e+07
8.548909905872082710e+07 1.305633566500929650e+06
1.302583737201601267e+07 1.289162955153631046e+07
1.303460473277922254e+06 3.777564895833580941e+07
1.149458369654085021e+06 1.469539706789292162e+06
7.012767634387420490e+06 5.001482327200704068e+07
1.087256702587931417e+07 1.095952307394551812e+06
9.236091338660575449e+07 7.378531723921108991e+06
1.698072866865978763e+07 1.165498227346971259e+07
2.883463487130225077e+07 6.270695276260656863e+07
8.518997951937194169e+07 1.417487197239755886e+06
2.820464056070828345e+06 3.071793212778948247e+07
1.261555325906672515e+07 1.930112363383375341e+06
8.480906882607419044e+06 4.838865850092215091e+07
1.094819543667384982e+07 8.424061503318462521e+06
7.334936653284108639e+07 1.281946673590001650e+06
1.029942283472365327e+07 1.709723996285479050e+06
1.730255923532141838e+06 7.332229712962397933e+07
3.740788217378154397e+06 2.930651967422113195e+07
3.660241311370132118e+07 1.942648177513279719e+06
1.967116702911370201e+06 5.775990553434970230e+07
2.295372550663317740e+07 5.981101650794471614e+06
3.649120070426894724e+07 5.639599345228753984e+06
1.788062922352046520e+07 4.765069767869515345e+06
5.960242506563610584e+07 3.087860664140713587e+07
4.176164477642507758e+06 4.487684357381593436e+06
4.522540461397407949e+07 9.565213416254405677e+07
3.045500592399341520e+06 7.369232336103214882e+06
6.424443399529139511e+06 7.545211974755950272e+07
8.382174955700710416e+07 1.600756639504853170e+06
2.144145659615315963e+06 1.039971364960634708e+07
5.962364452832140028e+07 1.050239145546707883e+07
4.454079946652973071e+06 5.916924646409510635e+06
2.280935434836462513e+07 1.536892037786155380e+07
2.245671273344514426e+06 2.082397204491768777e+07
2.111611802416231856e+07 2.264736485962240025e+06
1.847229340376745909e+07 4.377680876738314517e+06
1.445950304610955715e+07 1.861557948736204533e+06
1.766151451248738915e+07 9.141393133830638602e+06
7.408952614943535626e+07 9.328729864680626988e+07
9.731934981923766434e+07 4.238017851105193608e+06
3.102816520552461501e+06 3.463499105446241330e+06
1.731722528639407083e+07 2.996118994014286250e+07
2.086107681407162175e+07 3.038167388691700995e+06
1.452033846495041857e+06 8.383151202378406189e+06
1.339150531498979032e+07 3.782726778956024349e+07
9.000694522827656940e+06 3.621217992782086879e+07
1.728537799333925126e+06 4.540235268442138284e+07
2.378969223447899800e+06 7.532607300085344911e+07
5.334487712228604406e+07 2.386543646295647137e+06
3.841796566322255880e+06 1.299468578996230848e+07
2.128322730433113500e+07 8.894499016967119277e+07
1.938287382307217922e+06 5.933327586418302357e+07
5.345733205316858366e+06 1.035301460694876267e+06
5.651597420305805281e+06 1.238896467196790501e+06
1.118722642786116106e+06 3.497888096166064590e+07
1.889427643817170290e+06 6.299774764122374356e+06
1.509576459026557393e+06 1.260576699244209751e+07
2.983419202337196097e+06 1.132636721620500786e+06
3.748793449271618575e+07 5.029313754339901730e+06
2.602844039515459910e+07 3.108898362171102315e+06
4.325911163603831083e+07 4.495884307549738139e+07
3.683614054810554534e+07 4.274215380231043696e+07
2.053355925903592957e+06 2.526867602959039155e+06
3.719243156861958094e+06 6.293792301652863622e+06
4.855328671654679812e+06 3.388203945645113010e+06
1.568594913104444277e+06 2.219725007425745577e+07
1.658291512204740196e+07 1.254775492578292638e+07
1.270818233720302023e+07 7.022494166117766872e+06
1.022547171137998067e+07 1.036675725875570066e+07
3.059538465299410000e+07 5.442326098444425315e+07
2.657896825983623974e+06 1.492612833185382560e+07
2.569480832379901316e+06 2.193245759434919339e+06
4.724288439713541418e+06 7.598036370292794704e+07
4.461230885234948993e+07 2.550307163396241888e+07
3.543302448705695570e+07 6.315317300002714619e+06
3.042520579296331853e+07 2.885698552992249839e+06
5.621625052541982383e+07 4.599120486346230656e+07
4.109184432334784884e+06 9.803565352125345170e+07
1.372010785445205169e+06 8.189613664440594614e+07
3.242542941616089642e+07 1.238610021900841780e+07
4.105776638110259175e+07 8.638005611335967481e+07
6.657585957207808644e+07 4.473244146296893060e+07
3.390067330412914604e+07 3.364540230058880150e+07
3.734985020755853970e+06 5.114242125982006080e+06
2.222734029159786552e+07 2.177538160611197818e+06
1.362549026621857472e+07 9.890122004497528076e+07
6.525461310765291005e+07 6.902781315987282991e+07
2.925341412452068552e+07 6.677029773903010041e+07
7.362686202419844270e+07 1.407772938161796657e+06
7.655550462077365816e+07 2.807113606273991521e+06
2.110354562445397303e+07 2.334647402228008956e+07
6.639382645826130360e+07 5.292023565242862329e+06
1.511166401208302192e+07 9.148036820583280921e+07
3.542551883743236959e+07 3.997066900166868418e+07
7.384386687888985872e+07 4.291300660697800666e+07
2.076855095648238808e+07 1.838821616148343310e+06
2.207887337608741224e+07 2.104224557856185734e+07
7.668603499666488171e+07 1.488873478994438658e+06
4.545331602038472891e+06 1.443735898936751857e+07
1.326493825965887168e+06 3.320844779047280550e+07
7.788164796821677685e+07 1.951616218676159857e+06
1.953786714203316718e+06 1.735822127697895467e+07
1.435780734046220034e+07 4.197523787507262081e+06
1.228077146826579608e+07 1.131542646357456222e+06
1.377454492117832601e+07 1.557281163423251826e+06
1.102894353913974715e+06 4.939036060046180338e+07
1.405650306289572734e+06 1.725838256009844132e+06
9.508842664552766085e+07 1.124369077960076043e+06
6.732041462240331806e+06 2.947247857443979010e+07
3.364751685416063294e+06 5.238564400846730173e+07
3.792723160799080133e+07 9.024057408781547844e+07
2.609562613737159409e+06 2.228664818771292269e+07
2.660940337602041196e+06 1.734447512033626437e+06
6.811392329385558143e+06 2.802629864973075222e+06
1.253663132469695760e+06 6.790436859415191226e+06
4.271012539264004678e+07 8.379495239963208139e+07
1.318266030133040622e+06 5.901094279251712561e+07
2.677014358103262261e+06 2.714936093297810294e+06
4.388200436500854790e+06 8.871206970606783032e+07
2.294770995510423928e+07 4.070574376131529454e+06
2.752642967216811143e+06 1.122224806752245175e+06
5.673741492797701061e+07 4.172397622574074566e+07
1.624717487394530326e+06 3.813637215965640731e+06
1.036671339373324253e+07 9.773646832995839417e+06
2.937972847923595924e+06 9.505456316903777421e+06
1.073707031324107200e+06 7.464881171256938949e+06
2.148364307294956222e+07 1.568683223919871263e+06
2.781115094570188317e+06 3.052182496280089021e+07
1.960253467357459944e+06 5.764790442566253245e+07
1.493892313576613180e+07 8.942808220417450368e+07
3.955992489066638518e+06 2.242283424901419785e+06
1.516709287255891971e+07 7.025114653528968804e+06
7.491050200932393968e+07 8.485617387618599832e+07
1.577871133967328630e+07 1.045928287446013186e+06
1.661463539066262543e+06 5.095698483098019660e+07
3.432957797125529498e+06 1.629724154322180664e+06
6.641639366694284230e+07 4.454583216335125268e+07
5.024463214061052538e+06 7.449918512287861109e+07
2.789501108461027965e+07 1.038743744963065954e+06
9.659679151865428314e+06 5.736220284410931915e+07
1.439825891149816569e+06 3.568349821527168155e+06
7.583315908741216175e+06 8.995378996413616464e+06
1.011553853573702648e+07 2.430118607622035593e+07
1.915846117246036651e+06 4.423570027436052263e+07
1.643102042512479052e+07 8.821595489197045565e+07
8.642232069803994149e+06 2.745012695549899712e+06
6.379583664323263802e+06 4.463592208541633189e+07
