weight logl A B
2.499999999997065334e-03 7.657822264709416816e-10 1.518636636637649965e+06 2.376658335285424720e+06
2.499999999997067502e-03 7.657838425221672215e-10 1.287372595374002587e+06 2.378822695382536389e+06
2.499999999997131687e-03 7.658083942688198503e-10 4.925616898469634354e+07 2.262638345925349742e+06
2.499999999997198474e-03 7.658355644409842148e-10 1.841252064755728841e+07 2.377012861983728595e+06
2.499999999997438299e-03 7.659310005691844987e-10 9.515689613377833366e+07 2.254642875309390947e+06
2.499999999997451743e-03 7.659379717361343339e-10 2.053355925903592957e+06 2.526867602959039155e+06
2.499999999997471693e-03 7.659447529776296668e-10 4.171402481301776320e+07 2.418626456085786689e+06
2.499999999997471693e-03 7.659457719771900722e-10 5.334487712228604406e+07 2.386543646295647137e+06
2.499999999997515928e-03 7.659633314956808485e-10 1.594272640931684710e+07 2.512655749838179909e+06
2.499999999997669017e-03 7.660234678039535097e-10 2.653151207958996762e+06 2.616935611986211967e+06
2.499999999997669017e-03 7.660235662194043956e-10 2.290843266764407232e+07 2.557734223093801178e+06
2.499999999997673788e-03 7.660257720099100944e-10 5.164386317540300079e+06 2.612101631476221140e+06
2.499999999997744912e-03 7.660544132874563151e-10 1.173469880857691634e+06 2.656205139732515439e+06
2.499999999997878052e-03 7.661084059891467978e-10 2.677014358103262261e+06 2.714936093297810294e+06
2.499999999997891062e-03 7.661125162803175861e-10 1.313538271345024370e+07 2.689127029609465506e+06
2.499999999997902338e-03 7.661178498017433924e-10 1.773608327328741550e+07 2.682100992763779592e+06
2.499999999997929226e-03 7.661273487158840967e-10 9.452485025533193722e+06 2.717872373376659583e+06
2.499999999997977798e-03 7.661474983521952312e-10 8.642232069803994149e+06 2.745012695549899712e+06
2.499999999998035478e-03 7.661708090775849895e-10 1.390993108153927373e+06 2.795579600447622128e+06
2.499999999998080147e-03 7.661888470616904380e-10 6.811392329385558143e+06 2.802629864973075222e+06
2.499999999998093157e-03 7.661938789024789109e-10 4.810636045372584462e+07 2.689327412264409941e+06
2.499999999998155607e-03 7.662178296745762055e-10 3.373246540536587592e+06 2.850559141426768620e+06
2.499999999998359871e-03 7.663009402365210057e-10 3.042520579296331853e+07 2.885698552992249839e+06
2.499999999998393264e-03 7.663135287836106661e-10 1.453056668724113144e+07 2.950103570696263574e+06
2.499999999998446173e-03 7.663350124851752949e-10 4.024362749561155215e+06 3.012381623651764356e+06
2.499999999998450944e-03 7.663374892795495183e-10 7.655550462077365816e+07 2.807113606273991521e+06
2.499999999998499516e-03 7.663563596125783241e-10 2.345671560384246986e+06 3.049200221573770978e+06
2.499999999998570640e-03 7.663846667946922017e-10 2.086107681407162175e+07 3.038167388691700995e+06
2.499999999998646100e-03 7.664150628352006786e-10 3.120927342600670457e+07 3.055943509803346358e+06
2.499999999998703780e-03 7.664384808177181251e-10 2.602844039515459910e+07 3.108898362171102315e+06
2.499999999998728500e-03 7.664479558400750811e-10 4.329867186996694654e+06 3.188055288321306463e+06
2.499999999998764062e-03 7.664616727125746784e-10 5.082467970876925625e+06 3.208694393530932255e+06
2.499999999998784011e-03 7.664706937319138562e-10 1.514215180426224880e+07 3.194346611187856179e+06
2.499999999998821741e-03 7.664855142914461701e-10 3.030143878750252351e+07 3.175434282356209587e+06
2.499999999998837354e-03 7.664917064777075541e-10 1.807881263068212196e+07 3.221741377688518260e+06
2.499999999998897202e-03 7.665159755434203515e-10 1.292364288264847361e+07 3.279419508419785649e+06
2.499999999998963555e-03 7.665419205508782934e-10 1.524015669155483507e+07 3.319384698382647708e+06
2.499999999998992611e-03 7.665534837210523377e-10 4.130738641147261858e+07 3.264824681582207792e+06
2.499999999999016898e-03 7.665626388830136218e-10 4.855328671654679812e+06 3.388203945645113010e+06
2.499999999999043786e-03 7.665732181777018202e-10 8.012218105718959868e+07 3.190892260339107364e+06
2.499999999999105802e-03 7.665993933617771857e-10 3.102816520552461501e+06 3.463499105446241330e+06
2.499999999999216824e-03 7.666431180736867016e-10 2.213477132480918616e+07 3.494900985866019037e+06
2.499999999999230268e-03 7.666492827801564506e-10 1.439825891149816569e+06 3.568349821527168155e+06
2.499999999999232437e-03 7.666494177447800882e-10 2.970559224320811220e+06 3.564108356627227273e+06
2.499999999999263662e-03 7.666621299933393289e-10 8.173084887160934508e+06 3.575170165698385332e+06
2.499999999999494380e-03 7.667542869421641663e-10 3.536085804731278215e+06 3.792498898211337160e+06
2.499999999999509993e-03 7.667608963852361549e-10 1.624717487394530326e+06 3.813637215965640731e+06
2.499999999999583285e-03 7.667899051083733645e-10 2.207078977892947942e+07 3.823074542769103777e+06
2.499999999999658745e-03 7.668198777153509585e-10 9.300744859791098535e+07 3.693740015887248330e+06
2.499999999999720762e-03 7.668440203667606446e-10 4.525898448846241087e+07 3.892310872520913836e+06
2.499999999999734206e-03 7.668503034521706504e-10 4.238969711367425509e+06 4.028647681630497798e+06
2.499999999999823110e-03 7.668861942295187231e-10 2.294770995510423928e+07 4.070574376131529454e+06
2.499999999999916352e-03 7.669221309722976134e-10 1.435780734046220034e+07 4.197523787507262081e+06
2.499999999999978368e-03 7.669469838713527246e-10 1.716545343384444248e+06 4.308123211480210535e+06
2.500000000000000486e-03 7.669572601343405440e-10 1.703471799939382123e+06 4.339243212081005797e+06
2.500000000000045155e-03 7.669744672934028396e-10 1.590634058606089093e+07 4.350474583779415116e+06
2.500000000000071609e-03 7.669855096740884721e-10 1.847229340376745909e+07 4.377680876738314517e+06
2.500000000000102834e-03 7.669972165779808561e-10 2.373885571017125156e+06 4.462491013836472295e+06
2.500000000000127121e-03 7.670066159570533845e-10 4.176164477642507758e+06 4.487684357381593436e+06
2.500000000000140565e-03 7.670126413279132541e-10 9.731934981923766434e+07 4.238017851105193608e+06
2.500000000000271536e-03 7.670655785022090479e-10 4.828907510852912068e+07 4.559997684725332074e+06
2.500000000000284980e-03 7.670700893224396170e-10 3.011278963036314771e+07 4.629022654984338209e+06
2.500000000000320542e-03 7.670840622660751370e-10 1.210774180485191196e+07 4.732525355947501957e+06
2.500000000000340492e-03 7.670928082745418686e-10 1.421217544769668579e+07 4.758646590344102122e+06
2.500000000000351334e-03 7.670974162395989395e-10 1.788062922352046520e+07 4.765069767869515345e+06
2.500000000000447177e-03 7.671359868726990655e-10 4.847991365605331957e+07 4.824705614758333191e+06
2.500000000000502688e-03 7.671566817736629644e-10 6.648524016149090976e+07 4.856387334438064136e+06
2.500000000000546924e-03 7.671745880203537460e-10 3.734985020755853970e+06 5.114242125982006080e+06
2.500000000000555597e-03 7.671779041885317927e-10 3.748793449271618575e+07 5.029313754339901730e+06
2.500000000000573378e-03 7.671859551635638899e-10 1.521391432250011340e+07 5.129068909590590745e+06
2.500000000000578149e-03 7.671881533300454546e-10 1.423752702646030486e+07 5.141453305036852136e+06
2.500000000000606772e-03 7.671985425136832924e-10 1.164459959553639591e+07 5.194523570671726950e+06
2.500000000000620216e-03 7.672051847602615893e-10 3.179807125014181808e+07 5.164882098923284560e+06
2.500000000000742514e-03 7.672540973162542510e-10 6.639382645826130360e+07 5.292023565242862329e+06
2.500000000000746850e-03 7.672549162182586689e-10 7.826988323572677374e+07 5.261775131000858732e+06
2.500000000000768968e-03 7.672643252233020891e-10 9.555802597944483161e+06 5.507970283477033488e+06
2.500000000000784581e-03 7.672699887228138355e-10 2.105679710618047975e+06 5.558105187584070489e+06
2.500000000000804530e-03 7.672776910533464841e-10 2.199006236382320989e+06 5.596579623564142734e+06
2.500000000000871317e-03 7.673053580540968172e-10 3.649120070426894724e+07 5.639599345228753984e+06
2.500000000000877822e-03 7.673081375286014614e-10 4.778198749887820333e+06 5.747567958830492571e+06
2.500000000000906445e-03 7.673197767384566703e-10 4.147333210002143681e+07 5.702928275848643854e+06
2.500000000000931165e-03 7.673291829763384742e-10 1.698383135690034553e+07 5.826591024546047673e+06
2.500000000000955451e-03 7.673386826186208360e-10 4.454079946652973071e+06 5.916924646409510635e+06
2.500000000000988844e-03 7.673520039386096907e-10 1.649966948656118009e+06 6.001770528059727512e+06
