########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
9.173333333333e+02 3.853135060904e-09, 3.305587524753e-09 3.266858675942e-08
9.208888888889e+02 4.107953419591e-09, 3.016680685947e-09 3.254503633206e-08
9.244444444444e+02 2.562084235149e-09, 3.320639738601e-09 3.146913404061e-08
9.280000000000e+02 3.669633086108e-09, 2.484501244764e-09 2.482793391732e-08
9.315555555556e+02 3.419512355078e-09, 2.567479758534e-09 3.222475015308e-08
9.351111111111e+02 2.532216737038e-09, 3.378185998614e-09 4.388572554958e-08
9.386666666667e+02 3.142923644428e-09, 2.964774301156e-09 3.171260967733e-08
9.422222222222e+02 3.864933373051e-09, 2.738390025852e-09 3.578612694285e-08
9.457777777778e+02 2.946291665872e-09, 2.475290701732e-09 2.644681638246e-08
9.493333333333e+02 3.311355101635e-09, 2.558132110833e-09 3.442827812347e-08
9.528888888889e+02 3.051714924860e-09, 2.192822434181e-09 2.674733520638e-08
9.564444444444e+02 2.915606077355e-09, 2.509655386014e-09 2.714714834765e-08
9.600000000000e+02 2.229271063450e-09, 1.571419030287e-09 2.688500126818e-08
9.635555555556e+02 1.967291415412e-09, 2.328582678409e-09 2.725483789409e-08
9.671111111111e+02 3.193582704553e-09, 2.142267154968e-09 3.065951425873e-08
9.706666666667e+02 3.074347631510e-09, 2.837458180596e-09 4.051254172781e-08
9.742222222222e+02 2.688286371185e-09, 2.913537371836e-09 3.335195987390e-08
9.777777777778e+02 2.663740635728e-09, 3.406267533016e-09 2.161296289758e-08
9.813333333333e+02 2.889135993550e-09, 2.761824601566e-09 2.528223446112e-08
9.848888888889e+02 2.126794189336e-09, 2.361107552560e-09 3.724380981606e-08
9.884444444444e+02 2.507652298422e-09, 2.804545553397e-09 3.161901120801e-08
9.920000000000e+02 3.297352839669e-09, 1.871520366933e-09 2.989119574282e-08
9.955555555556e+02 2.869998193943e-09, 3.359213331420e-09 2.202257221400e-08
9.991111111111e+02 3.605553298872e-09, 2.313705077125e-09 2.999091604581e-08
1.002666666667e+03 3.065697867931e-09, 2.706124338975e-09 2.551621784633e-08
1.006222222222e+03 2.688061699895e-09, 1.883387356915e-09 2.505809591577e-08
1.009777777778e+03 1.601294982179e-09, 2.230362323204e-09 2.129671874671e-08
1.013333333333e+03 3.622162923138e-09, 2.317973404702e-09 2.640191557640e-08
1.016888888889e+03 2.568506908710e-09, 2.622848345840e-09 2.500307080394e-08
1.020444444444e+03 2.154659363451e-09, 2.199657754504e-09 2.506313917765e-08
1.024000000000e+03 3.197854743399e-09, 2.336531942228e-09 2.531302137278e-08
1.027555555556e+03 3.178179163173e-09, 2.233699887182e-09 2.980650280462e-08
1.031111111111e+03 2.098722541607e-09, 2.221991580379e-09 2.151956599186e-08
1.034666666667e+03 2.737822964374e-09, 2.646573293904e-09 2.477528236650e-08
1.038222222222e+03 2.216761069721e-09, 1.774174681667e-09 2.732403798036e-08
1.041777777778e+03 2.321351448424e-09, 1.836479453600e-09 2.218818903935e-08
1.045333333333e+03 2.979951482992e-09, 2.510037942133e-09 2.390107898402e-08
1.048888888889e+03 2.575465925173e-09, 2.017699219066e-09 2.097025736370e-08
1.052444444444e+03 1.790971766788e-09, 2.322355459964e-09 2.948677644190e-08
1.056000000000e+03 2.418901857263e-09, 1.701262591603e-09 2.052761287554e-08
1.059555555556e+03 2.751572310256e-09, 2.475870344200e-09 2.494720065004e-08
1.063111111111e+03 2.038416806653e-09, 1.403102377639e-09 1.880327031703e-08
1.066666666667e+03 1.706886101464e-09, 1.793598494811e-09 2.263495508738e-08
1.070222222222e+03 2.082176188980e-09, 1.893706040077e-09 2.585366726100e-08
1.073777777778e+03 2.237025058142e-09, 2.327418625056e-09 2.894680545736e-08
1.077333333333e+03 2.471496156570e-09, 1.727359869425e-09 1.790177167053e-08
1.080888888889e+03 3.085612766780e-09, 1.813192730535e-09 2.186543013094e-08
1.084444444444e+03 2.066588567199e-09, 2.261316615773e-09 2.596294720773e-08
1.088000000000e+03 2.709706461434e-09, 1.995015813494e-09 1.923776732350e-08
1.091555555556e+03 1.694682200644e-09, 1.937196748518e-09 2.159321747772e-08
1.095111111111e+03 2.684204441954e-09, 1.575251462277e-09 2.318660038324e-08
1.098666666667e+03 2.159405488885e-09, 1.835058028729e-09 2.422895263263e-08
