########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
4.053333333333e+02 5.052165282876e-08, 2.636883240125e-09 1.238573612524e-08
4.088888888889e+02 3.779430024226e-08, 1.900372513137e-09 1.071844767809e-08
4.124444444444e+02 2.918014897064e-08, 1.905974225913e-09 1.229659645178e-08
4.160000000000e+02 4.035901320376e-08, 2.082809708106e-09 1.529009855505e-08
4.195555555556e+02 3.155004662396e-08, 2.104003044583e-09 1.099020750450e-08
4.231111111111e+02 4.257978212291e-08, 1.261762446524e-09 1.067352306373e-08
4.266666666667e+02 3.050189856116e-08, 1.645908060151e-09 6.903306751030e-09
4.302222222222e+02 3.447435413188e-08, 1.860099979805e-09 1.136812644933e-08
4.337777777778e+02 3.316792356310e-08, 2.145417076710e-09 1.106920234581e-08
4.373333333333e+02 3.862106574203e-08, 2.678364758127e-09 9.229028958717e-09
4.408888888889e+02 2.784817711021e-08, 1.350361110261e-09 9.188291552683e-09
4.444444444444e+02 2.523423094095e-08, 1.613581015111e-09 1.161490753180e-08
4.480000000000e+02 4.545994987324e-08, 1.641614993890e-09 1.995461843444e-08
4.515555555556e+02 3.216041821131e-08, 1.008302186239e-09 1.202852079254e-08
4.551111111111e+02 3.510200660884e-08, 2.213226043362e-09 1.637098737824e-08
4.586666666667e+02 2.338391924985e-08, 2.564228056479e-09 1.056394049575e-08
4.622222222222e+02 3.203007063480e-08, 2.771837069445e-09 1.051656580642e-08
4.657777777778e+02 4.909488598238e-08, 2.370583124354e-09 1.709090059515e-08
4.693333333333e+02 1.930581935213e-08, 1.537580658373e-09 1.284228481890e-08
4.728888888889e+02 2.932271308121e-08, 2.052599375116e-09 1.511332414580e-08
4.764444444444e+02 3.326029960081e-08, 1.427033865452e-09 2.216241052221e-08
4.800000000000e+02 2.803716360050e-08, 1.842695651434e-09 3.510321373953e-08
4.835555555556e+02 2.103373076524e-08, 2.014289860227e-09 1.468893086441e-07
4.871111111111e+02 2.208664244092e-08, 2.133608650527e-09 1.079303541650e-06
4.906666666667e+02 5.006056979839e-08, 2.594074048954e-09 5.520593862251e-08
4.942222222222e+02 2.778990099140e-08, 1.763448241616e-09 2.167475712040e-08
4.977777777778e+02 1.918761072019e-08, 1.257911209369e-09 1.309139701303e-08
5.013333333333e+02 1.789302349419e-08, 1.905063524681e-09 1.209537656615e-08
5.048888888889e+02 4.474693078207e-08, 1.440562443248e-09 1.651478597445e-08
5.084444444444e+02 3.841004279688e-08, 1.100006376560e-09 1.809226919723e-08
5.120000000000e+02 2.096489167031e-08, 1.589462289002e-09 6.164592726433e-09
5.155555555556e+02 2.401334770679e-08, 2.362100906056e-09 9.784241002164e-09
5.191111111111e+02 2.326438347350e-08, 9.039937797969e-10 8.525597123249e-09
5.226666666667e+02 1.940275652827e-08, 1.928864141360e-09 6.700470817537e-09
5.262222222222e+02 1.587257107769e-08, 1.240175689452e-09 6.006084748556e-09
5.297777777778e+02 2.840508885357e-08, 1.005458829126e-09 7.283639657514e-09
5.333333333333e+02 2.593378589002e-08, 1.136924055071e-09 8.240880836941e-09
5.368888888889e+02 1.954100178240e-08, 1.430300971681e-09 6.849587631258e-09
5.404444444444e+02 1.775599666872e-08, 1.631424350824e-09 6.555644212795e-09
5.440000000000e+02 2.189692034187e-08, 2.825993247303e-09 1.311272180277e-08
5.475555555556e+02 1.618425793757e-08, 1.635322711077e-09 1.134636720171e-08
5.511111111111e+02 2.097178587616e-08, 8.135736997060e-10 3.303041062544e-09
5.546666666667e+02 3.695050243298e-08, 1.471644472562e-09 1.187314446508e-08
5.582222222222e+02 1.639064485652e-08, 1.044493898037e-09 4.673607644748e-09
5.617777777778e+02 1.550811173657e-08, 1.034263093476e-09 5.771920891348e-09
5.653333333333e+02 1.529275381960e-08, 1.676382463206e-09 5.216829165214e-09
5.688888888889e+02 2.689827289393e-08, 1.353805844908e-09 5.866437418430e-09
5.724444444444e+02 1.726887438292e-08, 1.025457231054e-09 4.823145361918e-09
5.760000000000e+02 2.218254736417e-08, 1.426073358131e-09 8.598920653672e-09
5.795555555556e+02 2.277877372169e-08, 2.422562845687e-09 5.425789163718e-09
5.831111111111e+02 1.814270369216e-08, 1.107817192009e-09 8.306238515470e-09
5.866666666667e+02 8.032399927778e-09, 7.329830688677e-10 6.260401651260e-09
5.902222222222e+02 1.363788417481e-08, 1.514776157495e-09 4.753760478331e-09
5.937777777778e+02 2.317305101630e-08, 1.757410707227e-09 6.926660512610e-09
5.973333333333e+02 1.876827985022e-08, 8.631333872092e-10 8.903122106487e-09
6.008888888889e+02 2.066113243706e-08, 1.600980667259e-09 7.202355812534e-09
6.044444444444e+02 1.514068630394e-08, 8.163098767172e-10 6.395970185289e-09
6.080000000000e+02 2.160649827626e-08, 1.334878175022e-09 1.600477060293e-08
6.115555555556e+02 2.032567896557e-08, 1.657974489533e-09 7.183960885593e-09
6.151111111111e+02 1.909627707291e-08, 1.103259656968e-09 4.866848406351e-09
6.186666666667e+02 2.690822440150e-08, 1.382067686823e-09 6.544998364830e-09
6.222222222222e+02 2.021183297220e-08, 1.779752154646e-09 5.619229864236e-09
6.257777777778e+02 1.124277945907e-08, 1.502478500277e-09 5.348278990898e-09
6.293333333333e+02 1.843945481195e-08, 1.391140044618e-09 5.793666884819e-09
6.328888888889e+02 1.387107168603e-08, 9.760080585272e-10 4.165743064391e-09
6.364444444444e+02 1.544889624710e-08, 8.904621476075e-10 4.186116286946e-09
6.400000000000e+02 2.178931386862e-08, 1.054292762988e-09 5.832025299771e-09
6.435555555556e+02 1.936331244653e-08, 7.455363780435e-10 3.634399034322e-09
6.471111111111e+02 1.167570856486e-08, 9.757010977485e-10 3.162601724245e-09
6.506666666667e+02 1.354289652203e-08, 8.060857961687e-10 3.773392118688e-09
6.542222222222e+02 1.450989100781e-08, 3.703868076369e-10 3.672201387862e-09
6.577777777778e+02 8.127148989953e-09, 9.962143870490e-10 3.541714193478e-09
6.613333333333e+02 1.202224573921e-08, 1.621545162387e-09 7.118406571739e-09
6.648888888889e+02 1.460120964746e-08, 9.582546218475e-10 7.387533469908e-09
6.684444444444e+02 1.205439089664e-08, 1.205212589449e-09 2.563159700456e-09
6.720000000000e+02 1.155757405793e-08, 1.064734687487e-09 4.930837829203e-09
6.755555555556e+02 1.192089042484e-08, 6.489384562654e-10 3.789080634595e-09
6.791111111111e+02 9.394915692611e-09, 8.824267907452e-10 3.139201128509e-09
6.826666666667e+02 1.616995293927e-08, 9.177117302242e-10 3.799589306698e-09
6.862222222222e+02 1.219868236847e-08, 8.756625215018e-10 5.472503032424e-09
6.897777777778e+02 1.095321293115e-08, 8.815888364546e-10 3.225952157490e-09
6.933333333333e+02 1.492706462895e-08, 1.053244625798e-09 3.744520768907e-09
6.968888888889e+02 1.468357447502e-08, 9.876376948102e-10 4.932703714473e-09
7.004444444444e+02 1.147686173600e-08, 6.537432661908e-10 4.573155256545e-09
7.040000000000e+02 1.168076403202e-08, 1.152540354220e-09 3.203508718454e-09
7.075555555556e+02 1.656814363831e-08, 4.990531263177e-10 3.369549641387e-09
7.111111111111e+02 1.736076682765e-08, 8.190753214681e-10 3.526812835585e-09
7.146666666667e+02 1.134900108069e-08, 9.883649006378e-10 3.577693240852e-09
7.182222222222e+02 1.000078169359e-08, 7.779112859179e-10 3.242962029380e-09
7.217777777778e+02 1.567258474148e-08, 3.075595348303e-10 4.519320761643e-09
7.253333333333e+02 1.403787152310e-08, 5.301976996584e-10 4.965128539050e-09
7.288888888889e+02 1.246617909394e-08, 7.534265927605e-10 1.251533689099e-07
7.324444444444e+02 1.346278622781e-08, 7.293586097933e-10 5.434422330602e-09
7.360000000000e+02 1.070146714323e-08, 6.238514651932e-10 4.510016009376e-09
7.395555555556e+02 8.945357699344e-09, 5.181343807829e-10 3.454857274227e-09
7.431111111111e+02 1.273825018999e-08, 8.072114455661e-10 3.372480191665e-09
7.466666666667e+02 3.325165184633e-09, 3.570255291390e-10 3.741820514937e-09
7.502222222222e+02 1.084441154655e-08, 8.977641092897e-10 3.852591866483e-09
7.537777777778e+02 1.994122930991e-08, 6.775824395400e-10 6.676048109837e-09
7.573333333333e+02 1.304521573591e-08, 7.076927411524e-10 4.134095250980e-09
7.608888888889e+02 9.701957020218e-09, 7.349248519548e-10 3.326672082326e-09
7.644444444444e+02 9.344888894895e-09, 8.976962422555e-10 3.547053056760e-09
7.680000000000e+02 1.027392792645e-08, 8.760983047009e-10 2.978739251780e-09
7.715555555556e+02 1.532478866961e-08, 6.234958078214e-10 5.321253863972e-09
7.751111111111e+02 1.127478448607e-08, 6.764397183467e-10 3.055739201554e-09
7.786666666667e+02 6.870769196252e-09, 7.719470041512e-10 4.187160622619e-09
7.822222222222e+02 9.721300665668e-09, 7.462665481452e-10 2.867157549974e-09
7.857777777778e+02 9.513926539402e-09, 5.565139943129e-10 3.241179117818e-09
7.893333333333e+02 1.294019003680e-08, 6.875293424872e-10 3.582077824359e-09
7.928888888889e+02 1.106964896947e-08, 8.005247123246e-10 4.201849536890e-09
7.964444444444e+02 1.376386607104e-08, 1.629883539842e-09 3.742682638402e-09
8.000000000000e+02 1.281985139659e-08, 1.654619139648e-09 4.589701576925e-09
8.035555555556e+02 9.082595594686e-09, 5.958274474608e-10 5.574188190124e-09
8.071111111111e+02 7.331623115794e-09, 6.666164023523e-10 2.360064784083e-09
8.106666666667e+02 7.459233306592e-09, 1.019030963070e-09 2.153957714293e-09
8.142222222222e+02 1.293292216015e-08, 3.341579921365e-10 3.917794061948e-09
8.177777777778e+02 1.490038759565e-08, 5.758507493319e-10 5.014560589326e-09
8.213333333333e+02 1.711383307443e-08, 5.714570600684e-10 4.170548724403e-09
8.248888888889e+02 3.894529769468e-09, 5.206374459953e-10 3.020049485933e-09
8.284444444444e+02 1.126849612595e-08, 5.243078832349e-10 2.208531031583e-09
8.320000000000e+02 1.757349159481e-08, 5.539472227613e-10 5.865465423770e-09
8.355555555556e+02 6.635232864838e-09, 5.493464496938e-10 3.165620157255e-09
8.391111111111e+02 8.204973753757e-09, 8.665779640638e-10 3.377031893737e-09
8.426666666667e+02 9.380784019790e-09, 6.077562676024e-10 5.993464352173e-09
8.462222222222e+02 9.443133936406e-09, 5.048084457203e-10 1.016041480987e-08
8.497777777778e+02 9.978533656544e-09, 5.117230464351e-10 1.456276158808e-07
8.533333333333e+02 1.115823137147e-08, 6.968359252136e-10 2.875352550770e-08
8.568888888889e+02 9.420220282960e-09, 5.333668081914e-10 5.092250375962e-09
8.604444444444e+02 8.979636515788e-09, 5.953243091148e-10 4.677176388424e-09
8.640000000000e+02 9.401975442450e-09, 8.175325033283e-10 3.706675121748e-09
8.675555555556e+02 1.208908874470e-08, 3.849329063784e-10 2.451778445600e-09
8.711111111111e+02 1.229987799079e-08, 8.101343913836e-10 4.191818376492e-09
8.746666666667e+02 6.824680648535e-09, 9.266744826500e-10 1.780213604481e-09
8.782222222222e+02 5.876185448235e-09, 5.727945580961e-10 3.431986660949e-09
8.817777777778e+02 5.116338656017e-09, 6.188665445836e-10 2.118743850996e-09
8.853333333333e+02 7.478062175387e-09, 9.003512737996e-10 1.526687329450e-09
8.888888888889e+02 6.243017943489e-09, 4.145896385995e-10 2.328533061019e-09
8.924444444444e+02 3.331524141209e-09, 5.928897257698e-10 2.319094376806e-09
8.960000000000e+02 8.321904809861e-09, 5.805095664234e-10 5.424300850094e-09
8.995555555556e+02 7.509338810104e-09, 4.005129124297e-10 5.373003629767e-09
9.031111111111e+02 7.069276914603e-09, 7.228178809860e-10 3.568193067455e-09
9.066666666667e+02 6.269575245799e-09, 6.462026725016e-10 3.034266095153e-09
9.102222222222e+02 5.162318014295e-09, 5.961331943289e-10 2.713936574670e-09
9.137777777778e+02 5.564886559539e-09, 2.901620743233e-10 1.611751942789e-09
9.173333333333e+02 7.207693703274e-09, 2.659971641374e-10 2.958418442891e-09
9.208888888889e+02 7.354537843183e-09, 5.850084470294e-10 1.767221910037e-09
9.244444444444e+02 8.717682917421e-09, 2.809315438016e-10 4.124945736858e-09
9.280000000000e+02 7.074468986483e-09, 5.608920555290e-10 2.727511552526e-09
9.315555555556e+02 7.542429998189e-09, 7.373626675478e-10 3.745529884156e-09
9.351111111111e+02 9.141960052616e-09, 4.361324695848e-10 2.854310513246e-09
9.386666666667e+02 7.294227031341e-09, 5.393743048471e-10 3.404866726214e-09
9.422222222222e+02 8.629133831189e-09, 4.104832523637e-10 3.840266992717e-09
9.457777777778e+02 9.637831325739e-09, 3.164419726728e-10 5.295267758007e-09
9.493333333333e+02 9.947068789004e-09, 4.676585325667e-10 4.478908537032e-09
9.528888888889e+02 4.506863799630e-09, 3.682453755399e-10 4.913522726658e-09
9.564444444444e+02 5.576274484982e-09, 5.373539664353e-10 7.064595862093e-09
9.600000000000e+02 5.827692379335e-09, 6.128216923659e-10 7.971632591200e-09
9.635555555556e+02 8.744861534161e-09, 4.572101363092e-10 1.996509433222e-08
9.671111111111e+02 8.167447413614e-09, 3.467384766883e-10 3.732789925449e-08
9.706666666667e+02 4.448611670457e-09, 5.816190986511e-10 3.934492424213e-07
9.742222222222e+02 5.365361285483e-09, 7.107113142536e-10 3.658668543634e-07
9.777777777778e+02 6.330268821665e-09, 3.183868372927e-10 4.330029349370e-08
9.813333333333e+02 9.129247057918e-09, 5.192879200581e-10 1.403822240007e-08
9.848888888889e+02 4.144946778083e-09, 2.409454923508e-10 9.522810177583e-09
9.884444444444e+02 8.933831858004e-09, 3.834148366340e-10 4.162074665321e-09
9.920000000000e+02 6.131999322485e-09, 4.776375404465e-10 3.743094227954e-09
9.955555555556e+02 6.690029789542e-09, 1.602000711332e-10 4.180329246239e-09
9.991111111111e+02 6.612017309329e-09, 4.025609320993e-10 3.632361243994e-09
1.002666666667e+03 4.674712415138e-09, 2.458029664921e-10 2.789122242400e-09
1.006222222222e+03 7.059509104230e-09, 5.254474436208e-10 2.720886006836e-09
1.009777777778e+03 8.781123062079e-09, 3.511961740219e-10 2.279961293571e-09
1.013333333333e+03 7.397934609165e-09, 3.321265028534e-10 4.166123565760e-09
1.016888888889e+03 8.070870793856e-09, 5.039072902591e-10 4.134593666218e-09
1.020444444444e+03 7.050226952577e-09, 5.202999997893e-10 4.075142796074e-09
1.024000000000e+03 6.333058645318e-09, 5.132350180123e-10 1.948104332221e-09
1.027555555556e+03 5.348716488603e-09, 3.614039075733e-10 1.812931743619e-09
1.031111111111e+03 3.690116118326e-09, 4.584216191911e-10 1.600412617174e-09
1.034666666667e+03 6.468578620978e-09, 2.691746835285e-10 1.783505026325e-09
1.038222222222e+03 8.574538372661e-09, 4.928175748296e-10 3.245984907959e-09
1.041777777778e+03 5.947930190393e-09, 3.341559461408e-10 1.233606240446e-09
1.045333333333e+03 5.298404928673e-09, 2.592569159630e-10 3.470779218958e-09
1.048888888889e+03 4.955730686033e-09, 5.831319158469e-10 1.789876137719e-09
1.052444444444e+03 6.696225299076e-09, 2.567823471876e-10 2.006387492805e-09
1.056000000000e+03 6.171850184236e-09, 6.082266214442e-10 2.897856574895e-09
1.059555555556e+03 4.772818814564e-09, 2.441362058145e-10 1.660594790834e-09
1.063111111111e+03 7.737710720456e-09, 2.819709575352e-10 2.189259694022e-09
1.066666666667e+03 3.796903169033e-09, 3.767301433643e-10 2.596525619056e-09
1.070222222222e+03 9.159865586184e-09, 4.545369683160e-10 1.562156346980e-09
1.073777777778e+03 4.131174876110e-09, 3.869192620030e-10 1.688109291770e-09
1.077333333333e+03 3.344288603804e-09, 3.771734422495e-10 2.029427227617e-09
1.080888888889e+03 5.730158854907e-09, 3.936456160310e-10 1.100579164710e-09
1.084444444444e+03 6.273115148555e-09, 5.528253506538e-10 1.160640332821e-09
1.088000000000e+03 6.511503541379e-09, 2.007453931335e-10 1.454621348504e-09
1.091555555556e+03 4.389731317628e-09, 4.281488446502e-10 4.086773839196e-09
1.095111111111e+03 2.781595973371e-09, 2.673476887802e-10 1.723918178077e-08
1.098666666667e+03 6.463061692218e-09, 3.907624205757e-10 3.049006286036e-09
1.102222222222e+03 3.487866567508e-09, 3.521175181305e-10 1.485285483589e-09
1.105777777778e+03 5.689824535217e-09, 3.679608875274e-10 1.237411024980e-09
1.109333333333e+03 5.063731846970e-09, 3.031050221978e-10 1.464462943797e-09
1.112888888889e+03 4.164978368875e-09, 2.355788073325e-10 1.738471790072e-09
1.116444444444e+03 7.596120276933e-09, 3.418945270022e-10 3.775282753416e-09
1.120000000000e+03 3.046992840113e-09, 2.098851541717e-10 1.804143533276e-09
1.123555555556e+03 4.647032253076e-09, 4.813570042390e-10 2.338380919391e-09
1.127111111111e+03 6.729223616789e-09, 3.980730690259e-10 1.728613067694e-09
1.130666666667e+03 3.813281288732e-09, 3.209061719997e-10 2.171852317147e-09
1.134222222222e+03 4.458441942282e-09, 3.190984637675e-10 2.261923050317e-09
1.137777777778e+03 4.897124005489e-09, 4.504369175280e-10 1.025000635355e-09
1.141333333333e+03 3.844010074867e-09, 2.399922049469e-10 1.349541181576e-09
1.144888888889e+03 4.177698838591e-09, 3.328781312353e-10 1.330000821161e-09
1.148444444444e+03 5.196729146189e-09, 1.786847533679e-10 2.469450036903e-09
1.152000000000e+03 4.245148771664e-09, 2.721832507125e-10 1.147969316256e-09
1.155555555556e+03 6.579708294808e-09, 3.288672424286e-10 2.659956526963e-09
1.159111111111e+03 7.178655282858e-09, 3.272490018154e-10 1.488932482799e-09
1.162666666667e+03 3.756046738858e-09, 2.844801361565e-10 1.592754541443e-09
1.166222222222e+03 5.776710928121e-09, 3.433808312712e-10 2.074657111160e-09
1.169777777778e+03 5.648402831052e-09, 4.381260542951e-10 1.861653793694e-09
1.173333333333e+03 4.700793193679e-09, 2.478187974563e-10 2.270103652749e-09
1.176888888889e+03 4.731591574108e-09, 2.698779012134e-10 1.292347905830e-09
1.180444444444e+03 4.549232217153e-09, 1.873544587516e-10 1.297037442424e-09
1.184000000000e+03 4.675945724140e-09, 4.918544748345e-10 2.000922829056e-09
1.187555555556e+03 3.167292223165e-09, 2.580345497444e-10 1.344624232758e-09
1.191111111111e+03 6.107863790045e-09, 1.668396868574e-10 1.929029444155e-09
1.194666666667e+03 3.408581329444e-09, 3.060973971116e-10 1.035891098884e-09
1.198222222222e+03 3.605199557227e-09, 1.655320907712e-10 1.990847197649e-09
