########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
6.577777777778e+02 2.108135302198e-08, 2.196936457369e-08 6.641359108052e-07
6.613333333333e+02 2.410853808601e-08, 1.665537156387e-08 3.477780729684e-07
6.648888888889e+02 1.930097407157e-08, 1.824888346214e-08 4.845203548894e-07
6.684444444444e+02 2.216263043801e-08, 1.969115839542e-08 3.829733728023e-07
6.720000000000e+02 1.346819785068e-08, 1.823013730102e-08 5.254605930322e-07
6.755555555556e+02 1.493819028278e-08, 1.927255661400e-08 4.590311474141e-07
6.791111111111e+02 2.131549272994e-08, 2.236792616785e-08 4.258105316819e-07
6.826666666667e+02 1.497026821433e-08, 2.140608903338e-08 2.634163997795e-07
6.862222222222e+02 1.523934002451e-08, 1.905612672352e-08 4.749117158177e-07
6.897777777778e+02 1.778237448065e-08, 3.168638832065e-08 3.288502867618e-07
6.933333333333e+02 1.213163209759e-08, 1.618247327259e-08 3.351645333166e-07
6.968888888889e+02 1.917877417605e-08, 2.102784792904e-08 2.981910597593e-07
7.004444444444e+02 1.989267905033e-08, 1.886257121441e-08 4.178120481884e-07
7.040000000000e+02 2.091842082793e-08, 1.858408034928e-08 4.851496757784e-07
7.075555555556e+02 1.425075747100e-08, 2.135612206686e-08 3.385586375550e-07
7.111111111111e+02 1.658769582773e-08, 1.864208533180e-08 4.122981629767e-07
7.146666666667e+02 1.262645742561e-08, 1.598865639894e-08 3.033245936185e-07
7.182222222222e+02 1.391725356631e-08, 1.402121388644e-08 3.596809492691e-07
7.217777777778e+02 1.568318953245e-08, 1.647816077446e-08 3.627537016125e-07
7.253333333333e+02 1.656880212869e-08, 2.049369510787e-08 2.800046438158e-07
7.288888888889e+02 1.989920102889e-08, 1.515218396329e-08 4.265956517065e-07
7.324444444444e+02 1.331142917365e-08, 1.480593719176e-08 6.012696857942e-07
7.360000000000e+02 1.911751082623e-08, 1.564896599086e-08 4.073520226091e-07
7.395555555556e+02 2.143746532851e-08, 1.708340812003e-08 2.610651724484e-07
7.431111111111e+02 8.788568117881e-09, 1.430952259830e-08 2.378588779671e-07
7.466666666667e+02 1.524411769894e-08, 1.701511740714e-08 3.020152127639e-07
7.502222222222e+02 1.293323593392e-08, 1.896166096546e-08 4.642197497735e-07
7.537777777778e+02 1.593441706043e-08, 1.807634886066e-08 4.116464506462e-07
7.573333333333e+02 1.510304795126e-08, 2.226280817817e-08 4.342269172083e-07
7.608888888889e+02 1.396144593372e-08, 1.035001333764e-08 2.847564503585e-07
7.644444444444e+02 1.267622253905e-08, 1.620531798787e-08 2.734076638555e-07
7.680000000000e+02 1.474952289108e-08, 1.714146746759e-08 2.404220251846e-07
7.715555555556e+02 1.388154939738e-08, 1.098551603958e-08 3.648757265332e-07
7.751111111111e+02 1.126223223669e-08, 1.952966534542e-08 3.912720807340e-07
7.786666666667e+02 1.397100034250e-08, 1.456055947890e-08 2.983741691578e-07
7.822222222222e+02 1.280024872273e-08, 1.565151082666e-08 2.976691252369e-07
7.857777777778e+02 1.434375352802e-08, 1.201083962937e-08 3.301728919276e-07
7.893333333333e+02 1.915643271542e-08, 8.883700656605e-09 2.473317436900e-07
7.928888888889e+02 1.661791958392e-08, 1.488094206997e-08 3.051304245687e-07
7.964444444444e+02 9.918004836268e-09, 1.743746812901e-08 3.870977199361e-07
8.000000000000e+02 1.194681699914e-08, 1.401266763698e-08 3.526616950077e-07
8.035555555556e+02 6.817005143407e-09, 1.122119873135e-08 2.685772373400e-07
8.071111111111e+02 1.041456027077e-08, 1.193859421198e-08 2.726879895099e-07
8.106666666667e+02 1.178016018829e-08, 1.162769645975e-08 3.312407021340e-07
8.142222222222e+02 8.852515482511e-09, 1.317472919746e-08 3.665456792157e-07
8.177777777778e+02 1.306134151346e-08, 1.587542021449e-08 2.343948318694e-07
8.213333333333e+02 1.246161559505e-08, 1.213933800837e-08 3.319813845616e-07
8.248888888889e+02 1.507798577242e-08, 1.617567878418e-08 3.849290347960e-07
8.284444444444e+02 1.705397723470e-08, 1.174252419137e-08 2.844691992362e-07
8.320000000000e+02 1.516815793209e-08, 1.278780115221e-08 2.879346379881e-07
8.355555555556e+02 8.729249359896e-09, 1.736726402574e-08 3.469191350363e-07
8.391111111111e+02 1.016738487285e-08, 1.531053970673e-08 3.071610517357e-07
8.426666666667e+02 1.265394918765e-08, 1.336279165050e-08 2.173664380294e-07
8.462222222222e+02 1.025460709769e-08, 1.102345205391e-08 2.839844678458e-07
8.497777777778e+02 7.392992826090e-09, 1.238743230599e-08 2.932743024374e-07
8.533333333333e+02 9.146545836513e-09, 1.418112758574e-08 2.663972701611e-07
8.568888888889e+02 1.899446976988e-08, 7.901295171925e-09 3.585478154349e-07
8.604444444444e+02 1.136759763243e-08, 1.144706894836e-08 2.545111442687e-07
8.640000000000e+02 1.042218388795e-08, 1.279837955667e-08 3.328537443860e-07
8.675555555556e+02 1.295800229837e-08, 8.734961010651e-09 1.935442787070e-07
8.711111111111e+02 1.219978210434e-08, 1.067213092754e-08 3.167928321377e-07
8.746666666667e+02 9.734802757888e-09, 1.276368318659e-08 2.599765349807e-07
8.782222222222e+02 7.358437542836e-09, 1.107221987598e-08 2.442733682487e-07
8.817777777778e+02 1.216757083153e-08, 1.451567229945e-08 2.341817786711e-07
8.853333333333e+02 9.395818602178e-09, 8.052252846603e-09 1.923148801378e-07
8.888888888889e+02 8.334808985988e-09, 1.507541013945e-08 2.840700794547e-07
8.924444444444e+02 1.230316152252e-08, 1.435413981602e-08 2.231069625367e-07
8.960000000000e+02 9.808651082637e-09, 1.184428497691e-08 2.412659727118e-07
8.995555555556e+02 1.153756718108e-08, 1.132902553241e-08 1.942377963241e-07
9.031111111111e+02 6.906431927380e-09, 1.547272131877e-08 2.281731293099e-07
9.066666666667e+02 9.784279281646e-09, 1.263322421175e-08 2.079043251238e-07
9.102222222222e+02 8.692515254311e-09, 1.094520704634e-08 1.375148047280e-07
9.137777777778e+02 1.316341033780e-08, 5.167224056394e-09 2.110857903792e-07
9.173333333333e+02 1.049773947675e-08, 9.488111724938e-09 2.767919897999e-07
9.208888888889e+02 1.024634397212e-08, 1.530831565398e-08 2.044834503221e-07
9.244444444444e+02 1.115153858271e-08, 7.373335389793e-09 2.477720232487e-07
9.280000000000e+02 1.165748250612e-08, 8.609488642333e-09 2.115510918121e-07
9.315555555556e+02 1.185643638548e-08, 1.143463575789e-08 1.619328547490e-07
9.351111111111e+02 8.651483988246e-09, 5.753986260154e-09 2.620934160267e-07
9.386666666667e+02 7.068358665916e-09, 1.154288222070e-08 2.067711423799e-07
9.422222222222e+02 7.139768810909e-09, 8.501214259293e-09 2.171899221449e-07
9.457777777778e+02 9.518252347413e-09, 8.275067371658e-09 2.388616316900e-07
9.493333333333e+02 1.000579761635e-08, 1.079181729596e-08 1.569950780595e-07
9.528888888889e+02 1.322811898536e-08, 9.474128011985e-09 2.186394205653e-07
9.564444444444e+02 1.323744220212e-08, 8.005518121966e-09 1.483280201520e-07
9.600000000000e+02 1.338044311481e-08, 8.725811374560e-09 2.267529691706e-07
9.635555555556e+02 9.700881667747e-09, 8.867379523140e-09 2.159110204608e-07
9.671111111111e+02 1.014071716370e-08, 1.302309250191e-08 2.319557645254e-07
9.706666666667e+02 1.096303023061e-08, 1.001494578783e-08 3.290080715965e-07
9.742222222222e+02 1.043832557916e-08, 8.359336029196e-09 2.911908775393e-07
9.777777777778e+02 7.814643980932e-09, 1.255173846224e-08 2.337149721975e-07
