logz logzerr logvol nlive logl logwt insert_order
-1.584745299843698163e+00 7.508168737175087426e-02 -2.294131643278052302e-01 3.180000000000000000e+02 4.112612287897652680e-14 -5.991464547107941740e+00 nan
-1.572623939311353247e+00 7.137124878986997323e-02 -2.325627732307014583e-01 3.170000000000000000e+02 4.144429117992327715e-14 -5.991464547107939964e+00 nan
-1.560647748264637480e+00 7.477157126000789911e-02 -2.357223335210699711e-01 3.160000000000000000e+02 4.169686453344550743e-14 -5.991464547107940852e+00 nan
-1.548813290617634619e+00 7.314204803075499695e-02 -2.388919082823490192e-01 3.150000000000000000e+02 4.206257369135226693e-14 -5.991464547107939964e+00 nan
-1.537117250854443284e+00 7.410164169993097016e-02 -2.420715611997287242e-01 3.140000000000000000e+02 4.272958253779628941e-14 -5.991464547107939076e+00 nan
-1.525556428453367142e+00 7.613995278111299059e-02 -2.452613565678288809e-01 3.130000000000000000e+02 4.290081200789942383e-14 -5.991464547107939076e+00 nan
-1.514127732629744205e+00 7.353399934841971242e-02 -2.484613592984997454e-01 3.120000000000000000e+02 4.303233124876251295e-14 -5.991464547107939964e+00 nan
-1.502828177375810759e+00 7.529199507479651665e-02 -2.516716349287479448e-01 3.110000000000000000e+02 4.306803466428226218e-14 -5.991464547107939076e+00 nan
-1.491654876777685379e+00 7.421705945772966162e-02 -2.548922496287901462e-01 3.100000000000000000e+02 4.327155496856757762e-14 -5.991464547107939076e+00 nan
-1.480605040591100208e+00 7.113970458038419709e-02 -2.581232702102366217e-01 3.090000000000000000e+02 4.347238281742619937e-14 -5.991464547107939076e+00 nan
-1.469675970058909709e+00 7.576042718469989945e-02 -2.613647641344076233e-01 3.080000000000000000e+02 4.408330357609820719e-14 -5.991464547107937300e+00 nan
-1.458865053954693902e+00 7.713757376158469903e-02 -2.646167995207849288e-01 3.070000000000000000e+02 4.440785767705051630e-14 -5.991464547107937300e+00 nan
-1.448169764837945905e+00 7.475007865870167412e-02 -2.678794451556013034e-01 3.060000000000000000e+02 4.449087439685265511e-14 -5.991464547107937300e+00 nan
