weight logl A B
2.499999999901386227e-03 4.036169272112962596e-14 5.103354734575344082e+03 1.324921098630181768e+04
2.499999999901388395e-03 4.058670380189658008e-14 1.183819857397048145e+04 3.239935007484355447e+04
2.499999999901386227e-03 4.112612287897652680e-14 3.572080029826615373e+03 3.326367870923251758e+04
2.499999999901390563e-03 4.144429117992327715e-14 1.298092413289488150e+03 1.298776219008092812e+04
2.499999999901388395e-03 4.169686453344550743e-14 6.515912285107001480e+03 3.418903780280674982e+04
2.499999999901390563e-03 4.206257369135226693e-14 6.430384847940702457e+04 1.262643872060367357e+04
2.499999999901392732e-03 4.272958253779628941e-14 3.887490055714475147e+03 1.268760909081721366e+04
2.499999999901392732e-03 4.290081200789942383e-14 3.359998531840054056e+04 3.619360718679490674e+04
2.499999999901390563e-03 4.303233124876251295e-14 1.602980542962822938e+03 3.644452712239742687e+04
2.499999999901392732e-03 4.306803466428226218e-14 1.670021091772589671e+03 3.650646597088266572e+04
2.499999999901392732e-03 4.327155496856757762e-14 1.029611279614846222e+06 9.287792368536298454e+03
2.499999999901392732e-03 4.347238281742619937e-14 9.222668458907581226e+03 3.720975884444011899e+04
2.499999999901397502e-03 4.408330357609820719e-14 2.407990055929766822e+04 1.234693609865104736e+04
2.499999999901397502e-03 4.440785767705051630e-14 4.056868924451054227e+03 3.890733927492023940e+04
2.499999999901397502e-03 4.449087439685265511e-14 6.148077948504830420e+04 3.901386955843651231e+04
2.499999999901397502e-03 4.486812784064309679e-14 1.393055115853863026e+04 3.976191612908939715e+04
2.499999999901399671e-03 4.576372731206971062e-14 7.747663096159230008e+03 1.209855105530765468e+04
2.499999999901401839e-03 4.577977447985130719e-14 2.298616793070866843e+05 1.138482724901633810e+04
2.499999999901399671e-03 4.628449576418688023e-14 6.363624958526470436e+04 4.251019456602640275e+04
2.499999999901401839e-03 4.662371758735980470e-14 7.972990869136530091e+04 4.319782637387027353e+04
2.499999999901404008e-03 4.702596951985792546e-14 4.921360113130428828e+06 3.933683467482557171e+04
2.499999999901401839e-03 4.721948935822473180e-14 8.382306757719887537e+04 4.446284943338246376e+04
2.499999999901401839e-03 4.746603616141160583e-14 1.553783198526389024e+05 4.493270445820371242e+04
2.499999999901404008e-03 4.763112144083037523e-14 1.078373096382860240e+04 4.543816891786699853e+04
2.499999999901406176e-03 4.812357408306120432e-14 2.880945538144141392e+04 4.653548383923708025e+04
2.499999999901404008e-03 4.826580009706379134e-14 8.703393501816039905e+06 3.818845243199129618e+04
2.499999999901408344e-03 4.850127912341197337e-14 2.039485701672865844e+03 1.169035295168094308e+04
2.499999999901406176e-03 4.885736600444006937e-14 2.895779731519099441e+05 4.800069869988629944e+04
2.499999999901406176e-03 4.920746139042312964e-14 1.747351517599291765e+04 4.913284333091727603e+04
2.499999999901408344e-03 4.937441427321315430e-14 5.727146948522295133e+04 4.950755964521011629e+04
2.499999999901410513e-03 4.957208206615978991e-14 1.710215838814013987e+05 1.102296467216936071e+04
2.499999999901408344e-03 4.969956894238278050e-14 5.908721521860993234e+05 9.750245529939007611e+03
